AutoID,Naam,Omschrijving,Model status,Model actueel?,ObjectID,Objectnaam,Object actueel?
MDL-3921,OWRB-07123-ROC-DMO-W66-000001,Terrein Kras Jeugdwerk,Nieuw,Ja,Obj-07123,Terrein Kras Jeugdwerk - steunpunt Dam - Slachthuislaan,Ja
MDL-3920,OWRB-07123-ROC-BMO-W66-000001,Terrein Kras Jeugdwerk,Nieuw,Ja,Obj-07123,Terrein Kras Jeugdwerk - steunpunt Dam - Slachthuislaan,Ja
MDL-3918,OWRB-07070-ROC-XRF-W40-000045,Wielwasinstallaties-RVP128,Nieuw,Ja,,,
MDL-3917,OWRB-07070-ROC-XRF-W40-000044,Wielwasinstallaties-RVP127,Nieuw,Ja,,,
MDL-3916,OWRB-07070-ROC-XRF-W40-000043,Wielwasinstallaties-RVP124,Nieuw,Ja,,,
MDL-3915,OWRB-07070-ROC-XRF-W40-000042,Wielwasinstallaties-RVP123,Nieuw,Ja,,,
MDL-3914,OWRB-07070-ROC-XRF-W40-000041,Wielwasinstallaties-RVP122,Nieuw,Ja,,,
MDL-3912,OWRB-07070-ROC-XRF-W40-000040,Wielwasinstallaties-RVP121,Nieuw,Ja,,,
MDL-3911,3D-model,Wielwasinstallaties-RVP120,Nieuw,Ja,,,
MDL-3904,OWRB-07069-ROC-DMO-W69-000002,R1O-RIO-OT Dive-Under,Nieuw,Ja,Obj-07069,Waterhuishouding R1 Oost,Ja
MDL-3903,OWRB-07069-ROC-BMO-W69-000002,R1O-RIO-OT Dive-Under,Nieuw,Ja,Obj-07069,Waterhuishouding R1 Oost,Ja
MDL-3902,OWRB-07069-ROC-DMO-W69-000001,R1O-RIO-TIJ Tijdelijke Verbindingsboog E313-R1,Nieuw,Ja,Obj-07069,Waterhuishouding R1 Oost,Ja
MDL-3901,OWRB-07069-ROC-BMO-W69-000001,R1O-RIO-TIJ Tijdelijke Verbindingsboog E313-R1,Nieuw,Ja,Obj-07069,Waterhuishouding R1 Oost,Ja
MDL-3893,OWRB-04026-ROC-DMO-W64-000001,R1O-DBW-OT Dienstbouwwerk Schijnpoort Energie,Nieuw,Ja,,,
MDL-3892,OWRB-04026-ROC-BMO-W64-000001,R1O-DBW-OT Dienstbouwwerk Schijnpoort Energie,Nieuw,Ja,Obj-04026,Dienstbouwwerk Schijnpoort Energie,Ja
MDL-3891,OWRB-03709-ROC-DMO-W64-000001,R1O-DBW-OT Dienstbouwwerk Schijnpoort,Nieuw,Ja,,,
MDL-3890,OWRB-03709-ROC-BMO-W64-000001,R1O-DBW-OT Dienstbouwwerk Schijnpoort,Nieuw,Ja,Obj-03709,Dienstbouwwerk Schijnpoort,Ja
MDL-3859,OWRB-01723-ROC-DMO-W28-000001,R1O-FA-TIJ - aanleg gronddijk ijzerlaankanaal,Nieuw,Ja,,,
MDL-3846,OWRB-01723-ROC-BMO-W28-000001,R1O-FA-TIJ - aanleg gronddijk ijzerlaankanaal,Nieuw,Ja,,,
MDL-3826,OWRB-07070-ROC-XRF-W40-000039,Werfomheining-RVP128,Nieuw,Ja,,,
MDL-3825,OWRB-07070-ROC-XRF-W40-000038,Werfomheining-RVP127,Nieuw,Ja,,,
MDL-3823,OWRB-07070-ROC-XRF-W40-000037,Werfomheining-RVP123,Nieuw,Ja,,,
MDL-3822,OWRB-07070-ROC-XRF-W40-000036,Werfomheining-RVP122,Nieuw,Ja,,,
MDL-3810,OWRB-07070-ROC-XRF-W40-000035,Werfketen-RVP127,Nieuw,Ja,,,
MDL-3807,OWRB-07070-ROC-XRF-W40-000034,Werfketen-RVP123,Nieuw,Ja,,,
MDL-3806,OWRB-07070-ROC-XRF-W40-000033,Werfketen-RVP122,Nieuw,Ja,,,
MDL-3805,OWRB-07070-ROC-XRF-W40-000032,Werfketen-RVP121,Nieuw,Ja,,,
MDL-3796,OWRB-07070-ROC-XRF-W40-000031,Toegangscontrole+Porta-RVP128,Nieuw,Ja,,,
MDL-3795,OWRB-07070-ROC-XRF-W40-000030,Toegangscontrole+Porta-RVP127,Nieuw,Ja,,,
MDL-3787,OWRB-07070-ROC-XRF-W40-000029,Toegangscontrole+Porta-RVP123,Nieuw,Ja,,,
MDL-3786,OWRB-07070-ROC-XRF-W40-000028,Toegangscontrole+Porta-RVP122,Nieuw,Ja,,,
MDL-3766,OWRB-07070-ROC-XRF-W40-000027,Parkeerplaatsen-RVP127,Nieuw,Ja,,,
MDL-3765,3D-model,Parkeerplaatsen-RVP125,Nieuw,Ja,,,
MDL-3764,OWRB-07070-ROC-XRF-W40-000026,Parkeerplaatsen-RVP124,Nieuw,Ja,,,
MDL-3762,OWRB-07070-ROC-XRF-W40-000025,Parkeerplaatsen-RVP123,Nieuw,Ja,,,
MDL-3761,OWRB-07070-ROC-XRF-W40-000024,Parkeerplaatsen-RVP122,Nieuw,Ja,,,
MDL-3760,OWRB-07070-ROC-XRF-W40-000023,Parkeerplaatsen-RVP121,Nieuw,Ja,,,
MDL-3742,OWRB-07070-ROC-XRF-W40-000022,2D-Werfweg-RVP128-e313-situatie+1,Nieuw,Ja,,,
MDL-3741,OWRB-06221-ROC-DMO-W69-000002,R1O-RIO-TIJ Tijdelijke Verbindingsboog E313-R1,Vervallen,Ja,Obj-06221,Dive under - afrit Schijnpoort,Ja
MDL-3740,OWRB-06221-ROC-BMO-W69-000002,R1O-RIO-TIJ Tijdelijke Verbindingsboog E313-R1,Vervallen,Ja,Obj-06221,Dive under - afrit Schijnpoort,Ja
MDL-3739,OWRB-07070-ROC-XRF-W40-000021,2D-Werfweg-RVP127-van pompstation naar dive-under-situatie+1,Nieuw,Ja,,,
MDL-3738,OWRB-06221-ROC-DMO-W69-000001,R1O-RIO-OT Dive-Under,Vervallen,Ja,Obj-06221,Dive under - afrit Schijnpoort,Ja
MDL-3737,OWRB-07070-ROC-XRF-W40-000020,2D-Werfweg-RVP127-invoeger e313-situatie+1,Nieuw,Ja,,,
MDL-3736,OWRB-06221-ROC-BMO-W69-000001,R1O-RIO-OT Dive-Under,Vervallen,Ja,Obj-06221,Dive under - afrit Schijnpoort,Ja
MDL-3735,OWRB-07070-ROC-XRF-W40-000019,2D-Werfweg-RVP127-dive-under-situatie+1,Nieuw,Ja,,,
MDL-3734,OWRB-07070-ROC-XRF-W40-000018,2D-Werfweg-RVP124-sportpaleis-situatie+2,Nieuw,Ja,,,
MDL-3733,OWRB-07070-ROC-XRF-W40-000017,2D-Werfweg-RVP124-sportpaleis-situatie+1,Nieuw,Ja,,,
MDL-3732,OWRB-07070-ROC-XRF-W40-000016,2D-Werfweg-RVP124-lbd west-situatie+1,Nieuw,Ja,,,
MDL-3731,OWRB-07070-ROC-XRF-W40-000015,2D-Werfweg-RVP123-schijnpoortweg zuid-situatie+1,Nieuw,Ja,,,
